Dataset,Month,Method,Shape Parameter (k),Scale Parameter (gamma),Num Data Points,AIC,BIC,KS Statistic,KS p-value,Mean,CI_95_Low,CI_95_High,Pct_10_15,Pct_GT_25
cork_airport,May,mm,1.8771,10.34766,46696,280649.67523,280667.17806,0.10903,0.00000,9.18589,1.45981,20.74176,0.25716,0.00531
cork_airport,May,ls,2.2110,11.55791,46696,279537.59148,279555.09431,0.07396,0.00000,10.23616,2.19167,20.85819,0.31510,0.00406
cork_airport,June,mle,2.1720,10.39677,45128,259465.14665,259482.58117,0.05022,0.00000,9.20742,1.91347,18.96276,0.29000,0.00120
cork_airport,June,mm,2.0832,10.02085,45128,259757.85623,259775.29075,0.07589,0.00000,8.87594,1.71588,18.75151,0.27092,0.00121
cork_airport,June,ls,2.3050,10.77726,45128,259875.00784,259892.44236,0.08706,0.00000,9.54797,2.18704,18.98662,0.31371,0.00095
cork_airport,July,mle,2.1654,9.91495,46652,263902.85477,263920.35571,0.05166,0.00000,8.78071,1.81536,18.11728,0.27486,0.00061
cork_airport,July,mm,2.0333,9.37547,46652,264581.06959,264598.57054,0.09373,0.00000,8.30657,1.53735,17.81562,0.24552,0.00064
cork_airport,July,ls,2.3094,10.27484,46652,264363.38217,264380.88311,0.08879,0.00000,9.10307,2.09142,18.08200,0.29981,0.00041
cork_airport,August,mle,2.0528,10.07193,46659,268762.35823,268779.85947,0.05395,0.00000,8.92253,1.68016,19.02270,0.26947,0.00156
cork_airport,August,mm,1.8273,9.06660,46659,270854.15353,270871.65477,0.13118,0.00000,8.05722,1.21263,18.52141,0.22104,0.00169
cork_airport,August,ls,2.2191,10.32946,46659,269280.09925,269297.60049,0.08523,0.00000,9.14834,1.97072,18.60087,0.29289,0.00082
cork_airport,September,mle,1.9887,10.66259,45169,267175.02899,267192.46532,0.05509,0.00000,9.45049,1.67900,20.55495,0.27544,0.00432
cork_airport,September,mm,1.7032,9.25729,45169,270536.49445,270553.93078,0.15223,0.00000,8.25871,1.06928,19.92156,0.21688,0.00438
cork_airport,September,ls,2.1525,10.82111,45169,267684.91061,267702.34695,0.07996,0.00000,9.58325,1.96131,19.84429,0.29738,0.00232
cork_airport,October,mle,1.9646,11.79872,46778,286741.68553,286759.19187,0.05758,0.00000,10.46017,1.81620,22.92924,0.28413,0.01263
cork_airport,October,mm,1.6713,10.21091,46778,290351.75769,290369.26403,0.14263,0.00000,9.12172,1.13175,22.29808,0.23140,0.01149
cork_airport,October,ls,2.0932,11.76309,46778,287142.37564,287159.88198,0.07019,0.00000,10.41873,2.03127,21.94582,0.30123,0.00786
cork_airport,November,mle,1.9392,12.19644,45300,281651.73973,281669.18185,0.05737,0.00000,10.81624,1.83192,23.90953,0.28185,0.01792
cork_airport,November,mm,1.6952,10.83070,45300,284051.68665,284069.12878,0.12444,0.00000,9.66550,1.23837,23.39178,0.24143,0.01610
cork_airport,November,ls,2.0678,12.12741,45300,282067.00338,282084.44550,0.06715,0.00000,10.74257,2.04962,22.79898,0.29934,0.01152
cork_airport,December,mle,1.9563,13.15081,46786,297335.79356,297353.30023,0.05450,0.00000,11.66004,2.00824,25.62937,0.28270,0.02978
cork_airport,December,mm,1.6920,11.55349,46786,300266.06015,300283.56683,0.13277,0.00000,10.31189,1.31558,24.98934,0.24582,0.02493
cork_airport,December,ls,2.1048,13.03068,46786,297927.57222,297945.07889,0.06143,0.00000,11.54102,2.27202,24.22738,0.30333,0.01943
westmeath_mullingar,January,mle,1.7403,9.72379,37888,224738.26406,224755.34884,0.04539,0.00000,8.66301,1.17605,20.58637,0.23068,0.00567
westmeath_mullingar,January,mm,1.7677,9.89117,37888,224774.10889,224791.19367,0.05631,0.00000,8.80429,1.23604,20.69910,0.23679,0.00580
westmeath_mullingar,January,ls,1.6191,9.72573,37888,225079.81417,225096.89895,0.05205,0.00000,8.71056,1.00426,21.77944,0.21824,0.00993
westmeath_mullingar,February,mle,1.8601,9.82242,33859,198609.44722,198626.30714,0.04439,0.00000,8.72254,1.36115,19.81432,0.24460,0.00340
westmeath_mullingar,February,mm,1.9630,10.32188,33859,198950.33413,198967.19405,0.08062,0.00000,9.15105,1.58643,20.07013,0.26617,0.00342
westmeath_mullingar,February,ls,1.7480,9.85545,33859,198845.28781,198862.14773,0.05255,0.00000,8.77802,1.20312,20.79628,0.23406,0.00616
westmeath_mullingar,March,mle,1.8682,9.72502,37267,217639.12235,217656.17408,0.04531,0.00000,8.63464,1.35926,19.55817,0.24301,0.00292
westmeath_mullingar,March,mm,1.9886,10.30417,37267,218154.76078,218171.81251,0.08434,0.00000,9.13282,1.62238,19.86478,0.26856,0.00295
westmeath_mullingar,March,ls,1.7724,9.81095,37267,217850.67972,217867.73145,0.05015,0.00000,8.73163,1.23279,20.49110,0.23567,0.00526
westmeath_mullingar,April,mle,1.8937,8.48462,35765,198496.08877,198513.05822,0.05129,0.00000,7.52976,1.21767,16.90412,0.20260,0.00044
westmeath_mullingar,April,mm,2.0737,9.22355,35765,199579.13577,199596.10522,0.11700,0.00000,8.17007,1.56674,17.30877,0.24203,0.00037
